 NAME III (version 6.5)                                          
 Run name:                   Training Example 1
 Run time:                   30/09/2015 15:20:04.640 UTC+01:00
 Met data:                   Single Site Flow.Met Station
 Start of release:           08/10/2008 00:00 UTC
 End of release:             08/10/2008 06:00 UTC
 Source strength:            100.0000 g / s
 Release location:           3.4700W   50.7300N
 Release height:             150.000m agl +/- 0.000m
 Run duration:               12hr 0min
 X grid origin:                -6.445000    
 Y grid origin:                 47.75500    
 X grid size:                         120
 Y grid size:                         120
 X grid resolution:            5.0000001E-02
 Y grid resolution:            5.0000001E-02
 Number of preliminary cols:            4
 Number of field cols:                  1
 
 Fields:
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                     Req 1,
                        ,                        ,                        ,                        ,         Air Concentration,
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                   g / m^3,
                        ,                        ,                        ,                        ,               All sources,
                        ,                        ,                        ,                        ,     No ensemble averaging,
                        ,                        ,                        ,                        ,          1hr 0min average,
                        ,                        ,                        ,                        ,   No horizontal averaging,
                        ,                        ,                        ,                        ,     No vertical averaging,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                      80,                      57,               -2.495000,                50.55500,             9.0721613E-07,
                      80,                      58,               -2.495000,                50.60500,             1.4035699E-06,
                      80,                      59,               -2.495000,                50.65500,             1.2397784E-06,
                      80,                      60,               -2.495000,                50.70500,             1.3790170E-06,
                      80,                      61,               -2.495000,                50.75500,             7.4555356E-07,
                      80,                      62,               -2.495000,                50.80500,             3.8691755E-07,
                      80,                      63,               -2.495000,                50.85500,             1.6601915E-07,
                      80,                      64,               -2.495000,                50.90500,             5.5399649E-08,
                      81,                      54,               -2.445000,                50.40500,             5.4811935E-08,
                      81,                      55,               -2.445000,                50.45500,             2.7432424E-07,
                      81,                      56,               -2.445000,                50.50500,             5.7669945E-07,
                      81,                      57,               -2.445000,                50.55500,             7.6975914E-07,
                      81,                      58,               -2.445000,                50.60500,             6.3298256E-07,
                      81,                      59,               -2.445000,                50.65500,             1.2948797E-06,
                      81,                      60,               -2.445000,                50.70500,             1.3790169E-06,
                      81,                      61,               -2.445000,                50.75500,             8.5600595E-07,
                      81,                      62,               -2.445000,                50.80500,             4.4219146E-07,
                      81,                      63,               -2.445000,                50.85500,             2.4902872E-07,
                      81,                      64,               -2.445000,                50.90500,             5.5399649E-08,
                      82,                      52,               -2.395000,                50.30500,             2.7347355E-08,
                      82,                      54,               -2.395000,                50.40500,             2.7405967E-08,
                      82,                      55,               -2.395000,                50.45500,             2.7432423E-08,
                      82,                      56,               -2.395000,                50.50500,             2.4715689E-07,
                      82,                      57,               -2.395000,                50.55500,             6.3230215E-07,
                      82,                      58,               -2.395000,                50.60500,             1.0733181E-06,
                      82,                      59,               -2.395000,                50.65500,             1.2122277E-06,
                      82,                      60,               -2.395000,                50.70500,             1.1032135E-06,
                      82,                      61,               -2.395000,                50.75500,             5.7987501E-07,
                      82,                      62,               -2.395000,                50.80500,             4.4219146E-07,
                      82,                      63,               -2.395000,                50.85500,             1.6601915E-07,
                      82,                      64,               -2.395000,                50.90500,             5.5399649E-08,
                      83,                      54,               -2.345000,                50.40500,             5.4811935E-08,
                      83,                      55,               -2.345000,                50.45500,             5.4864845E-08,
                      83,                      56,               -2.345000,                50.50500,             3.0208065E-07,
                      83,                      57,               -2.345000,                50.55500,             7.9725055E-07,
                      83,                      58,               -2.345000,                50.60500,             1.0182763E-06,
                      83,                      59,               -2.345000,                50.65500,             7.7141760E-07,
                      83,                      60,               -2.345000,                50.70500,             7.9982982E-07,
                      83,                      61,               -2.345000,                50.75500,             8.2839284E-07,
                      83,                      62,               -2.345000,                50.80500,             3.0400662E-07,
                      83,                      63,               -2.345000,                50.85500,             3.3203830E-07,
                      83,                      66,               -2.345000,                51.00500,             2.7756943E-08,
                      84,                      53,               -2.295000,                50.35500,             5.4753261E-08,
                      84,                      54,               -2.295000,                50.40500,             8.2217902E-08,
                      84,                      55,               -2.295000,                50.45500,             3.0175667E-07,
                      84,                      56,               -2.295000,                50.50500,             5.4923754E-07,
                      84,                      57,               -2.295000,                50.55500,             5.2233656E-07,
                      84,                      58,               -2.295000,                50.60500,             8.5315037E-07,
                      84,                      59,               -2.295000,                50.65500,             9.0917075E-07,
                      84,                      60,               -2.295000,                50.70500,             9.9289218E-07,
                      84,                      61,               -2.295000,                50.75500,             8.0077979E-07,
                      84,                      62,               -2.295000,                50.80500,             4.4219146E-07,
                      84,                      63,               -2.295000,                50.85500,             2.4902874E-07,
                      84,                      64,               -2.295000,                50.90500,             1.3849912E-07,
                      84,                      65,               -2.295000,                50.95500,             8.3180552E-08,
                      85,                      53,               -2.245000,                50.35500,             2.7376631E-08,
                      85,                      54,               -2.245000,                50.40500,             1.0962387E-07,
                      85,                      55,               -2.245000,                50.45500,             1.6459454E-07,
                      85,                      56,               -2.245000,                50.50500,             3.8446629E-07,
                      85,                      57,               -2.245000,                50.55500,             7.4226773E-07,
                      85,                      58,               -2.245000,                50.60500,             7.7058746E-07,
                      85,                      59,               -2.245000,                50.65500,             8.8162011E-07,
                      85,                      60,               -2.245000,                50.70500,             8.2741013E-07,
                      85,                      61,               -2.245000,                50.75500,             6.3510117E-07,
                      85,                      62,               -2.245000,                50.80500,             8.8438293E-07,
                      85,                      63,               -2.245000,                50.85500,             1.6601915E-07,
                      85,                      64,               -2.245000,                50.90500,             1.6619894E-07,
                      85,                      65,               -2.245000,                50.95500,             1.3863426E-07,
